Topic,Representation
1973,"['writer', 'novels', 'novel', 'literary', 'negro', 'mountain', 'manuscript', 'biographer', 'essay', 'essays']"
1974,"['shuttlecock', 'badminton', 'tennis', 'bouncing', 'backhand', 'bounce', 'ball', 'forehand', 'shuttles', 'lift']"
1975,"['acronyms', 'abbreviations', 'acronym', 'abbreviation', 'initials', 'initialisms', 'alphabet', 'letters', 'terms', 'hyphens']"
1976,"['executions', 'electrocution', 'unconstitutional', 'inmates', 'executed', 'lethal', 'inmate', 'electrocuted', 'judicial', 'execution']"
1977,"['bots', 'bot', 'automated', 'human', 'recognition', 'weblog', 'ai', 'test', 'webpages', 'decode']"
1978,"['prenuptial', 'agreements', 'marital', 'marriage', 'agreement', 'divorce', 'remarry', 'alimony', 'preempted', 'spousal']"
1979,"['population', '35', '25', '65', 'age', '28', '36', '34', '30', '18']"
1980,"['dengue', 'fever', 'mosquito', 'mosquitoes', 'mosquitos', 'immunity', 'disease', 'infection', 'infected', 'hemorrhages']"
1981,"['rainbow', 'studio', 'productions', 'cartoons', 'cartoon', 'cosplayers', 'premiere', 'premiered', 'partnership', 'viewers']"
1982,"['developmental', 'classrooms', 'developmentally', 'classroom', 'educational', 'children', 'teaching', 'developing', 'adolescence', 'students']"
1983,"['racing', 'raced', 'speedway', 'motorsports', 'racetrack', 'laps', 'competed', 'prix', 'karting', 'clinch']"
1984,"['agricultural', 'commodity', 'corn', 'commodities', 'biofuels', 'foods', 'grains', 'markets', 'oilseeds', 'traders']"
1985,"['cosplay', 'cosplayers', 'costumes', 'contestants', 'masks', 'outfits', 'costume', 'portray', 'anime', 'photographers']"
1986,"['sour', 'songwriter', 'grungy', 'debut', 'songs', 'album', 'lyrics', 'song', 'billboard', 'ballads']"
1987,"['yoon', 'jin', 'jung', 'hye', 'kyung', 'ji', 'han', 'hyun', 'tae', 'yi']"
1988,"['keynote', 'festival', 'attendees', 'conferences', 'organizers', 'conference', 'event', 'festivals', 'multimedia', 'events']"
1989,"['celebrity', 'spinoffs', 'sisters', 'rob', 'siblings', 'vogue', 'airing', 'superstar', 'reality', '2010s']"
1990,"['provider', 'security', 'cyberattack', 'cybersecurity', 'servers', 'network', 'privacy', 'routers', 'antivirus', 'tunneling']"
1991,"['pods', 'pod', 'containers', 'cluster', 'clusters', 'container', 'cloud', 'deployments', 'storage', 'services']"
1992,"['lifespan', 'oldest', 'longevity', 'age', 'lived', 'grandmothers', 'centenarian', 'person', '117th', 'living']"
1993,"['battleship', 'warship', 'battleships', 'naval', 'navy', 'admiral', 'fleet', 'harbor', 'ship', 'cruise']"
1994,"['regiments', 'regiment', 'battalions', 'recruits', 'recruitment', 'regimental', 'soldiers', 'army', 'troops', 'battalion']"
1995,"['parliamentary', 'minister', 'parliament', 'ministers', 'constituency', 'ministership', 'ministerial', 'elected', 'elections', 'election']"
1996,"['minister', 'politician', 'campaigned', 'constituency', 'elected', 'ministers', 'election', 'chief', 'leader', 'elections']"
1997,"['subsidies', 'aid', 'postwar', 'economy', 'economists', 'reimburse', 'economies', 'subsidizing', 'economic', 'prosperity']"
1998,"['gameplay', 'gaming', 'rpg', 'games', 'twilight', 'game', 'cinematics', 'acclaim', 'sword', 'time']"
1999,"['alexithymia', 'anxiety', 'disorders', 'psychiatric', 'disorder', 'psychosomatic', 'psychological', 'comorbidity', 'psychotherapy', 'dysfunction']"
2000,"['tests', 'test', 'gender', 'feminist', 'women', 'subjecting', 'bias', 'woman', 'female', 'fiction']"
2001,"['widows', 'widowhood', '1861', 'bipolar', '1880s', '1839', '1865', 'stepmother', 'grief', 'presidency']"
2002,"['demons', 'demonic', 'demon', 'eve', 'demonology', 'satan', 'goddess', 'occultist', 'exorcism', 'archangel']"
2003,"['gangster', 'gangsters', 'notorious', 'prohibition', 'jailing', 'mobsters', 'convict', '1920s', 'mobster', 'gunmen']"
2004,"['automata', 'cellular', 'cells', 'cell', 'automaton', 'replicating', 'lattice', 'replication', 'patterns', 'simulates']"
2005,"['languages', 'language', 'multilingual', 'soviet', 'lingua', 'speak', 'tsars', 'ru', 'bilingual', 'transliterations']"
2006,"['population', '2050', 'populations', '2060', 'demographic', '2100', '2037', 'growth', '2070', 'billion']"
2007,"['sarin', 'cousins', 'cousin', 'kidnap', 'affair', 'convinces', 'hostage', 'daughter', 'marry', 'girlfriend']"
2008,"['apes', 'ape', 'primates', 'chimpanzees', 'primate', 'chimpanzee', 'monkeys', 'gorilla', 'monkey', 'orangutans']"
2009,"['livestock', 'cattle', 'veterinary', 'beef', 'animal', 'humane', 'slaughtering', 'animals', 'meat', 'slaughter']"
2010,"['van', 'alleged', 'suspect', 'lurid', 'arrested', 'arrest', 'detained', 'extortion', 'suspects', 'der']"
2011,"['emotion', 'emotions', 'emotional', 'affective', 'arousal', 'physiological', 'physiologically', 'psychology', 'happiness', 'sentiments']"
2012,"['creoles', 'creole', 'francophone', 'french', 'parishes', 'ancestry', 'ethnic', 'dialect', 'ethnicity', 'les']"
2013,"['laureates', 'laureate', 'prizes', 'prize', 'novelists', 'novelist', 'literature', 'awarding', 'literary', 'award']"
2014,"['pachinko', 'parlors', 'arcades', 'parlor', 'yakuza', 'samurai', 'casinos', 'arcade', 'carnival', 'pinball']"
2015,"['bohemian', 'queen', 'deacon', 'mercury', 'musical', 'singer', 'hardy', 'film', 'award', 'screenplay']"
2016,"['dictator', 'regime', 'rebels', 'unrest', 'fled', 'exile', 'defected', 'uprising', 'expelled', 'ministers']"
2017,"['bombed', 'airship', 'airships', 'zeppelin', 'bombing', 'raids', 'bombs', 'squadron', 'flown', 'bomb']"
2018,"['euthanasia', 'suicide', 'suicides', 'patients', 'deaths', 'death', 'suffering', 'humane', 'lethal', 'patient']"
2019,"['censorship', 'pornography', 'videos', 'moderation', 'abusing', 'porn', 'ads', 'abuse', 'prohibiting', 'advertisers']"
2020,"['apple', 'retina', 'screen', 'camera', 'processor', 'device', '1080p', 'bezels', 'displays', 'stylus']"
2021,"['marshals', 'marshal', 'department', 'deputy', 'deputies', 'agencies', 'justices', 'officers', 'duties', 'officials']"
2022,"['baron', 'flew', '1918', 'von', 'pilots', 'piloted', 'pilot', 'gunner', 'fighter', '1917']"
2023,"['orthodox', 'soviet', 'atheism', 'clergy', 'persecution', 'priests', 'mosques', 'church', 'churches', 'religions']"
2024,"['metal', 'bands', 'band', 'idol', 'genre', 'kawaii', 'lyrical', 'music', 'concert', 'indie']"
2025,"['pharaoh', 'conquered', 'rulers', 'deposed', 'kings', 'king', 'reign', 'cuneiform', 'heir', 'accomplishments']"
2026,"['abducted', 'murders', 'brooks', 'abduction', 'abductions', 'victims', 'murder', 'buried', 'assaulted', 'killed']"
2027,"['currencies', 'currency', 'rates', 'inflation', 'parity', 'inflationary', 'rate', 'tariffs', 'markets', 'prices']"
2028,"['1917', '1918', 'soviet', 'soviets', 'republic', '1919', 'republics', 'tsarist', 'socialist', '1923']"
2029,"['animism', 'animists', 'animist', 'spiritualism', 'anthropological', 'animistic', 'anthropologist', 'anthropology', 'anthropologists', 'religions']"
2030,"['hypothesis', 'hypotheses', 'theories', 'scientific', 'reproducibility', 'conclusions', 'empirically', 'theoretical', 'theory', 'research']"
2031,"['commerce', 'resell', 'sales', 'vendor', 'marketplace', 'merchandise', 'purchases', 'sellers', 'goods', 'buyers']"
2032,"['mathematician', 'mathematicians', 'mathematics', 'physicist', 'von', 'scientist', 'mathematical', 'laureate', 'quantum', 'doctoral']"
2033,"['channel', 'channels', 'tv', 'television', 'streaming', 'subscription', 'feeds', 'viewing', 'platforms', 'providers']"
2034,"['marvel', 'superhero', 'comics', 'valkyrie', 'thunder', 'guardians', 'gauntlet', 'sequel', 'comic', 'director']"
2035,"['1080p', 'framerate', '1080', '60fps', '720p', '1440p', 'smartphone', 'smartphones', 'camera', 'fps']"
2036,"['head', 'butt', 'episodes', 'rerun', 'paramount', '1996', 'creators', 'revival', 'judge', 'animation']"
2037,"['woke', 'woken', 'wake', 'awake', 'twitter', 'millennial', 'slang', 'vernacular', 'awareness', 'consciousness']"
2038,"['ron', 'character', 'villains', 'sidekick', 'characters', 'goofy', 'sitcom', 'episodes', 'sitcoms', 'superhero']"
2039,"['fed', 'inflation', 'monetary', 'financial', 'treasury', 'easing', 'markets', 'economist', 'economics', 'banks']"
2040,"['fatwas', 'fatwā', 'fatwa', 'satanic', 'author', 'killings', 'fundamentalist', 'assassination', 'censorship', 'bombings']"
2041,"['reliance', 'telecommunications', 'telecom', 'telecommunication', 'broadband', 'company', 'telephony', 'cellular', 'mobile', 'handset']"
2042,"['conqueror', '1066', '1069', '1067', '1086', 'king', '1068', 'defeated', 'battle', 'lords']"
2043,"['broadway', 'musicals', 'theatre', 'cat', 'musical', 'theatrical', 'cats', 'performances', 'stage', 'premiered']"
2044,"['philosopher', 'writings', 'aphorism', 'philosophers', 'poet', 'semitism', '1888', 'polish', '1887', '1890']"
2045,"['groceries', 'restaurants', 'restaurant', 'taxicab', 'taxi', 'surcharge', 'meals', 'delivery', 'fares', 'customers']"
2046,"['musicals', 'lyricist', 'musical', 'concertos', 'operas', 'composers', 'piano', 'melodies', 'tunes', 'concerto']"
2047,"['mysticism', 'mystical', 'spiritual', 'spirituality', 'esotericism', 'transcendentalism', 'meditation', 'enlightenment', 'esoteric', 'supernatural']"
2048,"['biblical', 'patriarch', 'prophethood', 'genesis', 'prophetic', 'covenant', 'pharaoh', 'prayed', 'princes', 'servant']"
2049,"['chainsaw', 'massacre', 'slaughterhouse', 'sequels', 'chain', 'saw', 'remake', 'screenplay', 'theaters', 'miniseries']"
2050,"['fingerprints', 'robbers', 'fingerprint', 'investigation', 'ransom', 'evidence', 'crime', 'kidnapper', 'testified', 'nail']"
2051,"['rocky', 'rapper', 'ap', 'mixtape', 'billboard', 'platinum', 'breakout', 'album', 'beats', 'remix']"
2052,"['influential', 'list', 'publicized', 'ranking', 'world', 'magazine', '100', 'leaders', 'annual', 'impactful']"
2053,"['concert', 'concerts', 'tour', 'theater', 'headlining', 'tours', 'venues', 'band', 'dream', 'studios']"
2054,"['protozoans', 'protozoa', 'protozoan', 'taxonomic', 'phylogeny', 'phylogenetically', 'protists', 'eukaryotes', 'organisms', 'fungi']"
2055,"['missile', 'missiles', 'supersonic', 'hypersonic', 'radar', 'targets', 'target', 'ramjet', 'aerospace', 'propulsion']"
2056,"['anthrax', 'anthracis', 'infection', 'infections', 'infected', 'spores', 'outbreak', 'epidemiologist', 'disease', 'cutaneous']"
2057,"['streaming', 'premiere', 'tv', 'stream', '1080p', 'channel', 'channels', 'ultra', 'subscription', 'devices']"
2058,"['apps', 'app', 'android', 'purchases', 'ads', 'application', 'applications', 'mobile', 'free', 'google']"
2059,"['1644', 'theological', 'theologian', 'puritan', 'theology', 'puritanical', 'poet', 'poetry', 'treatise', 'writings']"
2060,"['spaceflight', 'military', 'spaceflights', 'spacecraft', 'aerospace', 'spaceplane', 'enlisted', 'corps', 'commander', 'space']"
2061,"['dick', 'biography', 'author', 'novelist', 'writer', 'novels', 'paperback', 'fiction', 'wrote', 'autobiographical']"
2062,"['mangroves', 'mangrove', 'ecosystem', 'ecosystems', 'biodiversity', 'deforestation', 'forests', 'coastlines', 'shorelines', 'swamps']"
2063,"['harbour', 'naval', 'captured', '1842', 'steamships', 'warships', 'sailed', 'gunboats', '1841', 'ships']"
2064,"['chipmunks', 'chipmunk', 'song', '1959', 'albums', '1990', '1958', '1988', '1962', 'sing']"
2065,"['plasmas', 'plasma', 'electrostatic', 'electrically', 'electrons', 'electron', 'ionization', 'conductivity', 'electromagnetic', 'electrode']"
2066,"['channel', 'mosh', 'media', 'channels', 'entertainment', 'twitter', 'videos', 'knack', 'gaming', 'weekly']"
2067,"['kernel', 'latest', 'maintainers', 'os', 'maintainer', 'intel', 'developers', 'release', 'monolithic', 'patches']"
2068,"['population', 'municipalities', 'cityscape', 'villages', 'city', 'urban', 'inhabitants', 'urbanized', 'demographic', 'neighbouring']"
2069,"['songs', 'song', 'singer', 'albums', 'album', 'songwriter', 'duet', 'billboard', 'singles', 'cowboy']"
2070,"['cannabinoids', 'cannabinoid', 'tetrahydrocannabinol', 'cannabidiol', 'cannabis', 'marijuana', 'herbal', 'receptors', 'opium', 'agonistic']"
2071,"['jong', 'politburo', 'secretary', 'leader', 'chairman', 'appointed', 'successor', 'leadership', 'commander', 'promoted']"
2072,"['dancer', 'dances', 'danced', 'dancing', 'choreography', 'dance', 'choreographers', 'musicals', 'ginger', 'vaudeville']"
2073,"['reptilians', 'conspiracist', 'conspiracism', 'reptilian', 'extraterrestrial', 'antisemitism', 'semitic', 'humanoids', 'conspiracy', 'antisemitic']"
2074,"['newscast', 'reporter', 'primetime', 'anchor', 'journalist', 'newsmagazine', 'newsreader', 'news', 'correspondent', 'anchors']"
2075,"['1605', 'gunpowder', 'undercroft', 'conspirators', '1603', 'lords', 'spies', 'interrogated', 'contemporaneous', 'interrogation']"
2076,"['motley', 'albums', 'frontman', 'band', 'concert', 'album', 'rock', 'bassist', 'vocalist', 'songs']"
2077,"['wormholes', 'wormhole', 'spacetime', 'traversable', 'relativity', 'traversing', 'physicist', 'physicists', 'geodesics', 'hawking']"
2078,"['habeas', 'constitution', 'detention', 'constitutional', 'imprisonment', 'detained', 'judiciary', 'courts', 'judicial', 'jurisdiction']"
2079,"['renewed', 'primetime', 'episodes', 'airing', 'premiered', 'seasons', 'showrunner', 'showrunners', 'episode', 'season']"
2080,"['strikers', 'goalscoring', 'winger', 'striker', 'goalkeeping', 'midfielder', 'scored', 'scoring', 'goals', 'goalkeeper']"
2081,"['seal', 'undercover', 'smuggling', 'cartel', 'smuggler', 'trafficking', 'smuggle', 'convicted', 'investigators', 'pilot']"
2082,"['placebo', 'concert', 'concerts', 'gigs', 'albums', 'toured', 'band', 'tour', 'gig', 'album']"
2083,"['radiation', 'radiographs', 'rays', 'radiography', 'ray', 'rayed', 'inventor', 'imaging', 'ultraviolet', 'detector']"
2084,"['thrash', 'vocals', 'drumming', 'rhythmic', 'melodic', 'guitar', 'guitars', 'bands', 'drums', 'groove']"
2085,"['scored', 'scoring', 'goalscoring', 'goalscorer', 'goals', 'scorer', 'goal', 'score', 'penalty', 'assists']"
2086,"['teams', 'league', 'leagues', 'stadium', 'conferences', 'franchises', 'soccer', 'city', 'championship', 'team']"
2087,"['kava', 'hepatotoxicity', 'supplements', 'herbal', 'medicinal', 'ethanol', 'dietary', 'extracts', 'pharmaceutical', 'toxicity']"
2088,"['expedition', 'expeditions', 'voyage', 'explorers', 'archaeologist', 'travelled', '1846', 'exploration', 'arctic', '1852']"
2089,"['polyamory', 'polyamorous', 'polygamous', 'polygamy', 'monogamous', 'monogamy', 'couples', 'heterosexuality', 'partner', 'poly']"
2090,"['rose', 'autobiography', 'quotes', 'writing', 'quotation', 'memoir', 'libretti', 'retellings', 'fruitful', 'redness']"
2091,"['biblical', 'conquered', 'temple', 'kingdom', 'temples', 'kingdoms', 'bible', 'rulers', 'chronicles', 'prophet']"
2092,"['bacon', 'pork', 'vegetarian', 'meat', 'beef', 'sandwiches', 'cooking', 'recipes', 'veggie', 'flavourings']"
2093,"['memes', 'evolution', 'evolutionary', 'meme', 'genetic', 'genes', 'imitation', 'creativity', 'analogy', 'genetics']"
2094,"['actress', 'actresses', 'blonde', 'playboy', 'vogue', 'stardom', 'girl', 'wilder', 'comedies', 'ladies']"
2095,"['ancient', 'law', 'laws', 'treatise', 'legislation', 'scribes', 'earliest', 'code', 'rulers', 'provisions']"
2096,"['actor', 'peck', 'gangster', 'actors', 'portrayal', 'wilder', '1962', '1939', 'gangsters', 'director']"
2097,"['protesting', 'protest', 'protesters', 'protests', 'picketing', 'homophobic', 'picketed', 'protested', 'pickets', 'picket']"
2098,"['neo', 'matrix', 'trinity', 'smith', 'cypher', 'smiths', 'machine', 'machines', 'agents', 'agent']"
2099,"['mathematician', 'mathematicians', 'hardy', 'mathematics', 'mathematical', 'conjectures', 'theorems', 'solvable', 'extraordinary', 'unsolvable']"
2100,"['semiotics', 'semiotic', 'concepts', 'linguistics', 'formalist', 'humanities', 'structuralism', 'linguistic', 'theorists', 'structuralist']"
2101,"['palace', 'palaces', 'monuments', 'museums', 'museum', 'tombs', 'buildings', 'forbidden', 'emperor', 'heritage']"
2102,"['episodes', 'airing', 'episode', 'ugly', 'finale', 'aired', 'seasons', 'season', '2007', 'telenovela']"
2103,"['lunar', 'moon', 'landings', 'spacecraft', 'missions', 'landing', 'rover', 'mission', 'rovers', 'orbit']"
2104,"['protocols', 'antisemitism', 'conspiratorial', 'antisemitic', 'conspiracist', 'persecution', 'prophecy', 'articles', 'fabricated', 'masonic']"
2105,"['sailed', 'seaworthy', 'boat', 'vessel', 'aground', 'seamen', 'ship', 'galley', 'sail', 'sails']"
2106,"['duet', 'concert', 'albums', 'songs', 'concerts', 'musicals', 'sung', 'sings', 'singles', 'album']"
2107,"['flame', 'ignited', 'flamethrower', 'flames', 'burning', 'ignite', 'petroleum', 'combustible', 'burn', 'substances']"
2108,"['wu', 'han', 'tung', 'qi', 'sun', 'warring', 'historian', 'treatise', 'histories', 'warfare']"
2109,"['committees', 'parliamentary', 'parliament', 'chairperson', 'chairpersons', 'deputies', 'chairman', 'presidium', 'legislative', 'proceedings']"
2110,"['alleged', 'bail', 'prosecution', 'arrested', 'arrest', 'bailed', 'allegedly', 'jail', 'charges', 'incident']"
2111,"['duet', 'sang', 'queen', 'concert', 'diamonds', 'bond', 'lampooned', 'songs', 'performing', 'singers']"
2112,"['municipality', 'polish', 'orchestras', 'cathedral', 'conservatory', 'composers', 'buildings', 'orchestra', 'raion', 'façade']"
2113,"['regiment', 'enlisted', 'regiments', 'regimental', 'navy', 'cadets', 'brigadier', 'naval', 'lieutenant', 'officers']"
2114,"['tower', 'towers', 'tallest', '1889', 'construction', 'observatory', '1885', 'landmark', 'constructed', 'edifice']"
2115,"['taxation', 'tax', 'taxes', 'taxed', 'taxpayers', 'crore', 'crores', 'revenue', 'goods', 'lakh']"
2116,"['sclerosis', 'ms', 'demyelination', 'encephalomyelitis', 'neurological', 'neurologic', 'demyelinating', 'prognosis', 'diagnosis', 'disease']"
2117,"['seppuku', 'samurai', 'decapitation', 'decapitate', 'decapitates', 'punishments', 'mortally', 'executed', 'undignified', 'penance']"
2118,"['architect', 'architects', 'architecture', 'houses', 'designs', 'designing', 'homes', 'residential', 'architectural', 'prairie']"
2119,"['albums', 'songs', 'lyrics', 'lyricist', 'sang', 'vocals', 'album', 'singing', 'sings', 'soundtrack']"
2120,"['decibels', 'decibel', 'amplitude', 'amplitudes', 'amplifier', 'amplifiers', 'logarithmic', 'ratios', 'ratio', 'logarithm']"
2121,"['palace', 'crystal', 'penalty', 'scorer', 'scored', 'goals', 'goal', 'assists', 'scoring', 'winger']"
2122,"['emir', 'sheikh', 'emirate', 'emirates', 'president', 'chairman', 'presidency', 'sultan', 'presidential', 'elected']"
2123,"['strips', 'circular', 'strip', 'folds', 'geometrically', 'surfaces', 'shapes', 'surface', 'geometric', 'edges']"
2124,"['sang', 'songwriter', 'singers', 'albums', 'singer', 'vocals', 'band', 'song', 'sung', 'album']"
2125,"['libel', 'celebrity', 'reportedly', 'scandals', 'resigned', 'minister', 'allowance', 'blackmailing', 'parliamentary', 'criticised']"
2126,"['divergent', 'trilogy', 'novel', 'screenplay', 'sequel', 'insurgent', 'films', 'trailer', 'film', 'twilight']"
2127,"['vaccine', 'vaccines', 'vaccination', 'vaccinated', 'vaccinations', 'vaccinate', 'unvaccinated', 'immunity', 'autism', 'oncologist']"
2128,"['paramount', 'premiered', 'channel', 'tv', 'episodes', 'television', 'rerun', 'fifth', 'syndication', '1993']"
2129,"['fish', 'cannibalism', 'tortured', 'murders', 'murder', 'murdered', 'larceny', 'kidnapping', 'confession', 'molester']"
2130,"['touchdowns', 'interceptions', 'touchdown', 'quarterback', 'fumble', 'interception', 'throw', 'yards', 'quarterbacks', 'bears']"
2131,"['viewership', 'viewers', 'televised', 'television', 'broadcasters', 'telecast', 'ratings', 'average', 'audience', 'broadcast']"
2132,"['shops', 'mall', 'stores', 'shop', 'store', 'retailer', 'shopping', 'retailing', 'retail', 'unisex']"
2133,"['niece', 'grandmother', '1918', 'aunt', '1945', 'granny', 'daughter', 'grandchildren', 'cousin', 'grandfather']"
2134,"['scored', 'goalscorers', 'goals', 'scoring', 'goal', 'goalscoring', 'penalty', 'assists', 'midfield', 'footballer']"
2135,"['seo', 'google', 'ranking', 'rankings', 'pages', 'searches', 'indexing', 'webmaster', 'web', 'search']"
2136,"['reliance', 'shareholders', 'crore', 'crores', 'industries', 'companies', 'stock', 'corporation', 'market', 'company']"
2137,"['postmodernism', 'modernism', 'postmodern', 'modernists', 'modernist', 'modernity', 'contemporary', 'literature', 'structuralism', 'obscurantism']"
2138,"['genesis', 'biblical', 'patriarch', 'prophets', 'polytheism', 'ancestor', 'bible', 'giant', 'rulership', 'tower']"
2139,"['presidential', 'parliamentary', 'governs', 'government', 'presidents', 'governments', 'legislature', 'executive', 'president', 'governing']"
2140,"['political', 'politics', 'sciences', 'sociology', 'sociologists', 'subjects', 'interdisciplinary', 'subdisciplines', 'academic', 'humanities']"
2141,"['feeds', 'syndication', 'feed', 'subscribing', 'browsers', 'blogs', 'aggregator', 'browser', 'blog', 'html']"
2142,"['ac', 'drummer', 'guitarist', 'drums', 'albums', 'album', 'vocals', 'vocalist', 'bassist', 'inducted']"
2143,"['chassis', 'vehicle', 'dealerships', 'automotive', 'factory', 'production', 'car', 'cars', '1980', 'motors']"
2144,"['biographers', 'revolt', 'orientalism', 'desertion', 'pillars', 'espionage', '1611', 'fictionalised', 'desert', 'bey']"
2145,"['wastes', 'waste', 'disposal', 'recycling', 'landfills', 'landfill', 'recycled', 'pollution', 'littering', 'polluting']"
2146,"['radio', 'fm', 'stations', 'broadcasting', 'broadcasters', 'commentator', 'station', 'stern', 'pence', 'rush']"
2147,"['resignation', 'riots', 'protest', 'paramilitary', 'protesters', 'mutiny', 'reforms', 'revolution', 'monarchy', 'chairman']"
2148,"['theme', 'themes', 'intro', 'anime', 'ending', 'chorus', 'song', 'episodes', 'remix', 'lyrics']"
2149,"['journalist', 'hitch', 'correspondent', 'readership', 'statesman', 'author', 'intellectuals', 'radicalism', 'neoconservative', 'polemicist']"
2150,"['paintings', 'painting', 'painters', 'painter', 'murals', 'illustrations', 'art', 'mural', 'drawings', 'painted']"
2151,"['fighter', 'fighters', 'featherweight', 'brawling', 'bantamweight', 'martial', 'kick', 'kickboxing', 'knocks', 'fight']"
2152,"['transit', 'commute', 'commuting', 'commuters', 'buses', 'commuter', 'passengers', 'travelling', 'transportation', 'minutes']"
2153,"['bliss', 'ambient', 'stages', 'albums', 'stage', 'melodies', 'dementia', 'fade', 'lucidity', 'mastering']"
2154,"['studios', 'lions', 'acquisitions', 'paramount', 'owns', 'subsidiary', 'distributors', 'films', 'distributor', 'corporation']"
2155,"['humidity', 'humid', 'moisture', 'dew', 'evaporation', 'temperatures', 'temperature', 'condensation', 'vaporization', 'evaporates']"
2156,"['codeine', 'prescription', 'paracetamol', 'prescribed', 'dihydrocodeine', 'medicines', 'pharmacies', 'acetaminophen', 'medication', 'antihistamine']"
2157,"['merger', 'shareholders', 'acquisition', 'acquire', 'acquired', 'finalized', 'merged', 'stock', 'traded', 'company']"
2158,"['geopolitical', 'tsarist', 'ideology', 'geopolitics', 'political', 'oligarch', 'nationalist', 'politics', 'ultranationalist', 'liberalism']"
2159,"['crops', 'agriculture', 'agricultural', 'maize', 'plantations', 'palm', 'soybeans', 'sugarcane', 'soybean', 'deforestation']"
2160,"['poutine', 'gravy', 'truffles', 'burger', 'cuisine', 'culinary', 'eatery', 'restaurants', 'brisket', 'artisanal']"
2161,"['autobiography', 'autobiographies', 'bird', 'poetry', 'poet', 'writings', 'maya', 'autobiographical', 'poems', 'literature']"
2162,"['propaganda', 'propagandists', 'propagandistic', 'propagandist', 'persuasion', 'disinformation', 'persuasive', 'campaigns', 'advertising', 'media']"
2163,"['sausage', 'sausages', 'bun', 'chili', 'condiments', 'pork', 'cooked', 'beef', 'dog', 'spicy']"
2164,"['albums', 'vocals', 'album', 'remix', 'punk', 'charted', 'funk', 'musician', 'drums', 'tour']"
2165,"['inmate', 'prison', 'prisoner', 'imprisonment', 'sentenced', 'robbery', 'prisoners', 'convicted', 'incident', 'violent']"
2166,"['discord', 'subscription', 'guilds', 'nitro', 'twitch', 'client', 'messaging', 'platform', 'citron', 'beta']"
2167,"['gnostic', 'gnosis', 'theology', 'religions', 'theosophical', 'orthodox', 'biblical', 'religious', 'esoteric', 'divinity']"
2168,"['bomber', 'squadron', '509th', '1945', 'bombardment', 'reconnaissance', 'bombardier', 'aircraft', 'pilot', 'bombing']"
2169,"['boiler', 'turbine', 'engines', 'invention', 'inventor', 'horsepower', 'steam', 'engine', 'steamers', 'inventors']"
2170,"['fighter', 'arcade', 'street', 'arcades', 'consoles', 'samurai', 'smash', 'games', 'gameplay', 'playable']"
2171,"['parole', 'sentenced', 'hearings', 'convicted', 'judge', 'correctional', 'prison', 'governor', 'juror', 'testified']"
2172,"['home', 'sequels', 'sequel', 'screenplays', 'film', 'comedy', 'vacation', 'absent', 'filmmaker', 'shelter']"
2173,"['ferry', 'harbor', 'pier', 'wharf', 'waterfront', 'seaport', 'cruises', 'patio', 'station', 'cruise']"
2174,"['muddy', 'harmonica', 'blues', 'albums', 'guitarist', 'waters', 'musicians', 'songs', 'album', 'guitar']"
2175,"['calamity', 'calamitous', 'novels', 'novel', 'soprano', 'biography', 'portrayed', 'storyteller', 'narrators', 'movie']"
2176,"['godfather', 'mafia', 'capo', 'murdered', 'murder', 'tom', 'traitor', 'revenge', 'consigliere', 'bodyguard']"
2177,"['undrafted', 'cornerback', 'patriots', 'receptions', 'touchdowns', 'catches', 'drafted', 'tackles', 'touchdown', 'fumbles']"
2178,"['royal', 'monarch', 'palace', 'palaces', 'royalty', 'queen', 'castle', 'residence', 'duchess', 'king']"
2179,"['joey', 'punk', 'drummer', 'sings', 'vocals', 'drummers', 'drums', 'sing', 'singing', 'guitarist']"
2180,"['nuclear', 'sanctions', 'missiles', 'jong', 'missile', 'yoon', 'reactors', 'reactor', 'treaty', 'uranium']"
2181,"['poet', 'poem', 'poetry', 'poems', 'scribes', 'scribe', 'philology', 'manuscript', 'prose', 'literary']"
2182,"['rebounds', 'warriors', 'curry', 'assists', 'green', 'doubles', 'suns', 'triple', 'steals', 'playoffs']"
2183,"['skyscraper', 'tallest', 'tower', 'towers', 'skyscrapers', 'buildings', 'building', 'construction', 'jin', 'skyline']"
2184,"['shareholder', 'shareholders', 'investor', 'shares', 'holdings', 'takeover', 'ownership', 'stock', 'stockbroker', 'financier']"
2185,"['astronomer', 'heliocentric', '1516', 'papal', '1496', 'ecclesiastic', '1522', '1497', '1531', 'bishops']"
2186,"['actresses', 'actress', 'wilder', 'portrayal', 'broadway', '1920s', '1934', 'performances', '1932', 'bully']"
2187,"['register', 'historic', 'cemeteries', 'landmarks', 'monuments', 'national', 'zoning', 'preservation', 'ordinances', 'birthplaces']"
2188,"['albums', 'album', 'songs', 'concert', 'comeback', 'millennium', '90s', '1999', 'billboard', 'unbreakable']"
2189,"['merger', 'aerospace', 'subsidiaries', 'acquisitions', 'firms', 'subsidiary', 'companies', 'shipbuilding', 'manufacturer', 'company']"
2190,"['wiggle', 'band', 'entertainers', 'concert', 'performers', 'concerts', 'songs', 'touring', 'circus', 'dancers']"
2191,"['pilgrims', '1620', 'pilgrim', 'voyage', 'sailed', 'colony', 'sailors', '1621', '1609', 'ship']"
2192,"['sneakers', 'footwear', 'shoes', 'sportswear', 'sneaker', 'shoe', 'shoemaker', 'boost', 'boosts', 'apparel']"
