Topic,Representation
183,"['kickboxing', 'sparring', 'boxing', 'jitsu', 'karate', 'martial', 'kickboxers', 'judo', 'knockout', 'boxer']"
184,"['payments', 'card', 'payment', 'cardholder', 'cardholders', 'cards', 'billing', 'transactions', 'credit', 'banking']"
185,"['cathedrals', 'cathedral', 'arches', 'arched', 'vaults', 'pilasters', 'portico', 'masonry', 'spires', 'gothic']"
186,"['visual', 'studios', 'animation', 'filming', 'actors', 'filmed', 'effects', 'scenes', 'footage', 'imagery']"
187,"['psychoanalytical', 'psychoanalysts', 'psychoanalysis', 'psychoanalytic', 'psychoanalyst', 'psychologists', 'psychology', 'ego', 'psychologist', 'psychological']"
188,"['novels', 'novelists', 'novelist', 'sensibility', '1818', 'prejudice', 'novel', 'reader', 'literature', '1813']"
189,"['medieval', 'grail', 'knights', 'tales', 'knight', 'chevalier', 'tale', 'legends', 'companions', 'quest']"
190,"['uniforms', 'jerseys', 'uniform', 'logos', 'blazers', 'hornets', 'bulls', 'wizards', 'logo', 'stripes']"
191,"['cookies', 'cookie', 'http', 'session', 'browsers', 'browser', 'caching', 'cache', 'logged', 'proxy']"
192,"['polygamous', 'polygamy', 'polyamory', 'polygamists', 'monogamous', 'monogamy', 'polyandry', 'marriages', 'cohabitation', 'couples']"
193,"['languages', 'speak', 'dialects', 'language', 'linguists', 'linguistic', 'linguistically', 'lingua', 'natively', 'speaks']"
194,"['1830s', 'tribe', 'tribes', 'confederate', 'natives', 'confederacy', '1821', '1832', 'settlers', '1836']"
195,"['equilibria', 'equilibrium', 'strategic', 'strategies', 'strategy', 'bargaining', 'games', 'economics', 'cooperative', 'coordination']"
196,"['firearm', 'firearms', 'handgun', 'handguns', 'guns', 'pistols', 'rifles', 'permits', 'gun', 'permit']"
197,"['kong', 'monster', 'monsters', 'franchise', 'sequel', 'monarch', 'king', 'giant', 'kaiju', 'movie']"
198,"['murders', 'murdered', 'murderers', 'convicted', 'defendants', 'murder', 'killers', 'sentenced', 'crimes', 'victims']"
199,"['homer', 'sitcom', 'cartoon', 'sitcoms', 'showrunner', 'moe', 'clown', 'episodes', 'episode', 'primetime']"
200,"['alleging', 'accused', 'alleged', 'defamation', 'allegations', 'convicted', 'prosecution', 'lawsuit', 'assaulted', 'sued']"
201,"['delegates', 'presidential', 'nominee', 'primaries', 'presidency', 'nomination', 'campaigned', 'candidates', 'nominate', 'candidate']"
202,"['probation', 'misdemeanor', 'arrested', 'arrest', 'jail', 'sentenced', 'convicted', 'felony', 'conviction', 'fines']"
203,"['fender', 'guitars', 'guitar', 'acoustic', 'amplifiers', 'instrument', 'amp', 'amplifier', 'bass', 'amps']"
204,"['trafficking', 'prostitution', 'prostitutes', 'prostitute', 'brothels', 'brothel', 'smuggling', 'criminalizing', 'slavery', 'traffickers']"
205,"['isotopes', 'isotope', 'elements', 'neutron', 'neutrons', 'atomic', 'radioactive', 'nuclei', 'radionuclides', 'atoms']"
206,"['meth', 'methamphetamine', 'cocaine', 'drug', 'methylamine', 'poisoned', 'killing', 'gang', 'stealing', 'arrested']"
207,"['channel', 'channels', 'tv', 'simulcast', 'streaming', 'broadcasting', 'television', 'multichannel', 'subscription', 'subscriptions']"
208,"['frescoes', 'chapel', 'pope', 'basilica', 'sculptor', 'fresco', 'paintings', 'papal', 'painter', 'painters']"
209,"['armistice', '1944', 'française', '1945', '1940', 'french', 'allied', 'nationale', 'guerre', '1918']"
210,"['novelist', 'novels', 'novel', 'novelists', 'literature', 'literary', 'writings', 'writer', 'tsar', 'crime']"
211,"['1936', 'fascism', 'fascist', 'nationalists', 'nationalist', '1939', '1937', 'fascists', 'dictatorship', 'rebellion']"
212,"['apple', '6s', 'smartphones', 'smartphone', 'phones', 'discontinued', '5s', 'phone', 'devices', 'touchscreen']"
213,"['showrunner', 'episode', 'showrunners', 'episodes', 'primetime', 'bob', 'premiered', 'aired', 'premiere', 'spinoff']"
214,"['gemstones', 'gemstone', 'sapphires', 'sapphire', 'diamond', 'diamonds', 'gems', 'gemological', 'minerals', 'gem']"
215,"['emperors', 'emperor', 'roman', 'empire', 'augustus', 'papacy', 'crowned', 'pope', 'reign', 'papal']"
216,"['cavalry', 'legions', 'armies', 'battle', 'battles', 'roman', 'troops', 'commanded', 'horsemen', 'commanders']"
217,"['1649', 'royalist', '1685', 'royalists', '1640', 'monarchy', '1642', '1603', '1646', 'monarch']"
218,"['orgasms', 'orgasm', 'clitoris', 'clitoral', 'stimulation', 'orgasmic', 'vaginal', 'ejaculation', 'ejaculate', 'vaginally']"
